frame_number,total_vehicles,cars,trucks,buses,motorcycles,bicycles,confidence_threshold
387,17,11,4,0,2,0,0.25
388,17,11,4,0,2,0,0.25
389,17,11,4,0,2,0,0.25
390,16,10,4,0,2,0,0.25
391,17,11,4,0,2,0,0.25
392,17,11,4,0,2,0,0.25
393,17,11,4,0,2,0,0.25
394,17,11,4,0,2,0,0.25
395,18,11,4,0,3,0,0.25
396,18,12,3,0,3,0,0.25
397,19,12,4,0,3,0,0.25
398,18,11,4,0,3,0,0.25
399,18,11,4,0,3,0,0.25
400,16,10,3,0,3,0,0.25
401,17,11,3,0,3,0,0.25
402,17,11,3,0,3,0,0.25
403,17,11,3,0,3,0,0.25
404,17,11,3,0,3,0,0.25
405,17,11,3,0,3,0,0.25
406,16,11,3,0,2,0,0.25
407,16,10,4,0,2,0,0.25
408,16,10,4,0,2,0,0.25
409,15,11,2,0,2,0,0.25
410,15,11,2,0,2,0,0.25
411,15,11,2,0,2,0,0.25
412,12,9,2,0,1,0,0.25
413,12,9,2,0,1,0,0.25
414,12,9,2,0,1,0,0.25
415,12,9,2,0,1,0,0.25
416,12,9,2,0,1,0,0.25
417,12,9,2,0,1,0,0.25
418,15,10,3,0,2,0,0.25
419,14,10,2,0,2,0,0.25
420,13,10,2,0,1,0,0.25
421,13,10,2,0,1,0,0.25
422,13,10,2,0,1,0,0.25
423,15,12,2,0,1,0,0.25
424,14,11,2,0,1,0,0.25
425,13,10,2,0,1,0,0.25
426,13,9,3,0,1,0,0.25
427,15,10,3,0,2,0,0.25
428,11,9,1,0,1,0,0.25
429,12,9,2,0,1,0,0.25
430,12,9,2,0,1,0,0.25
431,12,9,2,0,1,0,0.25
432,13,9,3,0,1,0,0.25
433,13,9,3,0,1,0,0.25
434,13,9,3,0,1,0,0.25
435,13,10,2,0,1,0,0.25
436,13,10,2,0,1,0,0.25
437,13,10,2,0,1,0,0.25
438,13,10,2,0,1,0,0.25
439,13,10,3,0,0,0,0.25
440,12,10,2,0,0,0,0.25
441,13,9,2,0,2,0,0.25
442,12,9,2,0,1,0,0.25
443,13,9,2,0,2,0,0.25
444,13,9,2,0,2,0,0.25
445,15,10,1,2,2,0,0.25
446,15,10,1,2,2,0,0.25
447,14,10,1,2,1,0,0.25
448,16,10,2,2,2,0,0.25
449,13,11,1,0,1,0,0.25
450,15,12,1,1,1,0,0.25
451,15,12,1,1,1,0,0.25
452,15,12,1,1,1,0,0.25
453,14,11,1,1,1,0,0.25
454,15,11,2,1,1,0,0.25
455,16,11,2,2,1,0,0.25
456,15,10,2,2,1,0,0.25
457,15,10,3,1,1,0,0.25
458,13,9,2,1,1,0,0.25
459,15,10,2,2,1,0,0.25
460,16,11,3,1,1,0,0.25
461,17,11,3,2,1,0,0.25
462,17,11,3,2,1,0,0.25
463,16,10,3,2,1,0,0.25
464,17,11,3,2,1,0,0.25
465,15,9,3,2,1,0,0.25
466,15,9,2,3,1,0,0.25
467,16,9,3,3,1,0,0.25
468,18,10,2,3,3,0,0.25
469,18,10,2,3,3,0,0.25
470,17,10,2,2,3,0,0.25
471,18,10,2,3,3,0,0.25
472,18,11,1,3,3,0,0.25
473,19,11,2,3,3,0,0.25
474,17,11,1,2,3,0,0.25
475,18,11,1,3,3,0,0.25
476,17,11,1,2,3,0,0.25
477,18,12,1,2,3,0,0.25
478,18,12,1,2,3,0,0.25
479,18,12,1,2,3,0,0.25
480,19,13,1,2,3,0,0.25
481,20,13,1,2,4,0,0.25
482,20,13,1,2,4,0,0.25
483,19,13,1,2,3,0,0.25
484,19,13,1,2,3,0,0.25
485,19,13,2,2,2,0,0.25
486,18,12,1,2,3,0,0.25
487,21,13,3,2,3,0,0.25
488,22,13,3,2,4,0,0.25
489,22,12,3,2,5,0,0.25
490,22,14,3,2,3,0,0.25
491,20,12,3,2,3,0,0.25
492,21,12,3,2,4,0,0.25
493,19,12,2,2,3,0,0.25
494,20,14,3,1,2,0,0.25
495,20,13,3,2,2,0,0.25
496,22,15,3,2,2,0,0.25
497,21,14,3,2,2,0,0.25
498,20,14,3,2,1,0,0.25
499,20,14,2,2,2,0,0.25
500,20,13,3,2,2,0,0.25
501,20,14,3,2,1,0,0.25
502,19,13,2,2,2,0,0.25
503,19,13,3,2,1,0,0.25
504,19,13,3,2,1,0,0.25
505,17,11,3,2,1,0,0.25
506,18,12,3,2,1,0,0.25
507,19,12,3,2,2,0,0.25
508,20,12,3,2,3,0,0.25
509,18,12,2,2,2,0,0.25
510,17,11,2,2,2,0,0.25
511,20,12,3,2,3,0,0.25
512,19,12,3,1,3,0,0.25
513,18,11,3,1,3,0,0.25
514,16,11,2,1,2,0,0.25
515,18,11,2,3,2,0,0.25
516,18,12,2,2,2,0,0.25
517,17,12,2,2,1,0,0.25
518,16,11,2,2,1,0,0.25
519,17,11,3,2,1,0,0.25
520,18,11,3,2,2,0,0.25
521,18,11,3,2,2,0,0.25
522,19,12,3,2,2,0,0.25
523,17,12,4,0,1,0,0.25
524,18,12,4,0,2,0,0.25
525,18,11,4,0,3,0,0.25
526,17,11,4,0,2,0,0.25
527,17,12,3,0,2,0,0.25
528,17,12,2,0,3,0,0.25
529,17,12,2,0,3,0,0.25
530,16,11,2,0,3,0,0.25
531,18,13,2,0,3,0,0.25
532,20,14,3,0,3,0,0.25
533,19,14,2,0,3,0,0.25
534,19,13,3,0,3,0,0.25
535,18,13,2,0,3,0,0.25
536,19,13,3,0,3,0,0.25
537,20,14,3,0,3,0,0.25
538,18,12,3,0,3,0,0.25
539,19,13,3,0,3,0,0.25
540,18,12,3,0,3,0,0.25
541,18,12,3,0,3,0,0.25
542,19,13,3,0,3,0,0.25
543,18,11,3,1,3,0,0.25
544,16,11,2,0,3,0,0.25
545,16,11,2,0,3,0,0.25
546,19,14,2,0,3,0,0.25
547,19,14,2,0,3,0,0.25
548,18,13,2,0,3,0,0.25
549,19,14,2,0,3,0,0.25
550,18,13,2,0,3,0,0.25
551,18,13,2,0,3,0,0.25
552,18,14,1,0,3,0,0.25
553,19,14,1,0,4,0,0.25
554,20,14,2,0,4,0,0.25
555,20,14,2,0,4,0,0.25
556,20,13,3,0,4,0,0.25
557,20,14,2,0,4,0,0.25
558,20,14,3,0,3,0,0.25
559,17,13,2,0,2,0,0.25
560,21,16,3,0,2,0,0.25
561,21,16,3,0,2,0,0.25
562,21,15,3,0,3,0,0.25
563,20,15,3,0,2,0,0.25
564,20,13,3,0,4,0,0.25
565,22,16,3,0,3,0,0.25
566,20,16,3,0,1,0,0.25
567,19,15,3,0,1,0,0.25
568,18,14,3,0,1,0,0.25
569,17,13,3,0,1,0,0.25
570,19,15,3,0,1,0,0.25
571,18,13,3,0,2,0,0.25
572,18,12,3,0,3,0,0.25
573,21,15,3,0,3,0,0.25
574,22,16,3,0,3,0,0.25
575,21,15,3,0,3,0,0.25
576,21,15,3,0,3,0,0.25
577,22,15,4,0,3,0,0.25
578,21,15,3,0,3,0,0.25
579,20,15,3,0,2,0,0.25
580,19,14,3,0,2,0,0.25
581,23,16,4,0,3,0,0.25
582,20,15,3,0,2,0,0.25
583,20,15,3,0,2,0,0.25
584,20,15,3,0,2,0,0.25
585,20,15,3,0,2,0,0.25
586,20,15,3,0,2,0,0.25
587,20,15,3,0,2,0,0.25
588,20,15,3,0,2,0,0.25
589,20,15,3,0,2,0,0.25
590,20,15,3,0,2,0,0.25
